scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C22-S04,Book 3,22,Chapter 22,4,400,series/books/book-3/phase-8-editing/MANUSCRIPT.md,7fd0f125fdac3878d70d7ae028fb01c0754ec7e5aa6e17bc5d1709ca175100c8,**Jonah**,She was going for the Elemental.,Jonah Harrow,,,Library entrance,Jonah Harrow; Margot Vance; Valerius; Grey Guard,Keep Valerius from forcing surrender or seizing the Scroll.,"Valerius's leverage, hostages or threatened civilians, and siege escalation.","Valerius permits Margot to retrieve the Scroll, believing he controls the encounter.",Margot leaves for the service lift while Jonah realizes she intends to use the Fire Elemental instead.,Valerius approaches alone; terms exchanged; Margot requests access to the Scroll; Jonah reads her real plan.,"Jonah understands Margot is going for the Elemental, not the Scroll.",He trusts her improvisation without exposing it.,Silent strategic communication between Jonah and Margot deepens.,None.,Margot will use the Fire Elemental against Valerius's next weapon.,Elemental-power and siege-escalation threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C22-S05,Book 3,22,Chapter 22,5,397,series/books/book-3/phase-8-editing/MANUSCRIPT.md,155b79027deec7d476f9a733eedf363e68a0b15a3f036c7a4c38b83db69b7a70,**Margot**,"""Since you like architecture,"" Valerius smiled, ""I brought my own moving building.""",Margot Vance,,,Library boiler room and entrance,Margot Vance; Fire Elemental; Valerius; defenders,Recruit the Fire Elemental against the approaching threat.,"Elemental volatility, time pressure, and unknown enemy weapon.",Valerius unveils a thirty-foot Siege Golem powered by necrotic fire.,The defense faces a construct designed to smash the library itself.,Margot consults the Fire Elemental; enemy construct approaches; Siege Golem revealed.,Margot learns Valerius has brought a relic Siege Golem from the War of 1999.,She recognizes ordinary firepower will be insufficient.,Margot treats the Elemental as an ally rather than mere power source.,Fire Elemental remains contained but engaged.,The Siege Golem must be stopped before it destroys the library.,Valerius escalation and library-destruction threads.,The Elemental alliance is activated.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C22-S06,Book 3,22,Chapter 22,6,464,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4d6c7f36be08be823d15ff23b2efde1ea921982dc053c1fe49ac299a3ba22c9c,**Shared POV**,"""Knock knock,"" Valerius whispered.",Shared POV,,,Library front entrance and atrium,Jonah Harrow; Margot Vance; Grishka; Siege Golem; defenders; Valerius,Stop the Siege Golem's first breach.,"Thirty-foot necromantic construct, rotary cannon, battering force, self-repair.",The Golem defeats Grishka and reaches the doors.,The library suffers a direct structural assault and the defenders lose the initial exchange.,Siege Golem attacks; Grishka is thrown into fountain; Golem raises both arms to break through.,The defenders learn the Golem is far stronger than Troll or conventional defenses.,Margot recognizes the next solution must exploit classification or rules rather than strength.,Jonah and Margot remain jointly focused despite tactical disaster.,None.,Find a conceptual loophole to neutralize the Golem.,Golem threat and library-survival threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C23-S01,Book 3,23,Chapter 23,1,294,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4a82d1d1d43462d6f03863c948ffcb2c04a667c41d910990b51530895a8ac2d5,**Margot**,She turned and ran. Not to the vault. To the Reference Desk.,Margot Vance,,,Library atrium and balcony,Margot Vance; Jonah Harrow; Henderson; Grishka; Siege Golem,Identify a non-force solution to the Golem.,"Self-repair, necrotic heat, collapsing library, wounded defenders.",Margot realizes the Golem is a rule-bound animate construct that can be cataloged.,She runs to the Reference Desk to exploit library classification logic.,Golem destroys interior; Grishka wounded; Margot analyzes construct rules; loophole idea forms.,Margot identifies the Golem as an animate object subject to library classification.,She reframes the enemy from weapon to inventory.,Jonah buys time while Margot takes intellectual command.,None.,Use cataloging rules to process the Golem as inventory.,Golem-neutralization thread.,The loophole promise is identified.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C23-S02,Book 3,23,Chapter 23,2,339,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b2d0827c495d618a502c37b8cb7240e3c61b32805ccc1a9c463c4ab38fd0ba42,The Reference Desk was the brain of the library.,She jumped.,Margot Vance,,,Reference Desk and Old Index,Margot Vance; Henderson; Siege Golem,Find the exact classification and transport mechanism needed.,"Burning library, time pressure, unusual construct class.",Margot determines anything unbarcoded entering the library is unprocessed acquisition material.,She selects the Keeper's Label Gun and Oversize Returns chute.,Old Index searched; Golem classified; Trans-Dimensional Oversize Returns chute requested; Label Gun loaded.,Margot learns the Golem can be labeled as inventory and routed to the Void.,She trusts library procedure as a battlefield weapon.,None beyond command coordination with Henderson.,Keeper's Label Gun acquired with VOID-destination tags.,Attach the tag to the Golem and route it to Oversize Returns.,Cataloging-weapon thread.,The Old Index yields a viable solution.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C23-S03,Book 3,23,Chapter 23,3,369,series/books/book-3/phase-8-editing/MANUSCRIPT.md,6c785ca29236af0bb47245b5082ff63f7342e397190d670d680ec74384035654,**Margot**,"The Golem roared, trying to step off. But it was no longer a combatant. It was Inventory. And Inventory had to go where it was told.",Margot Vance,,,Library atrium,Margot Vance; Jonah Harrow; Aleksei; Siege Golem,Reach the Golem and attach the inventory label.,"Rotary cannon, moving construct, collapsing interior.",Margot tags the Golem and the library pauses it as unprocessed inventory.,Spectral conveyor rollers begin routing the Golem toward Returns.,Margot rides book cart; Jonah shifts and attacks hydraulics; Aleksei distracts; Label Gun fired.,The defenders confirm the library's inventory authority can override the Golem temporarily.,Margot's rule-based solution proves stronger than raw force.,Jonah and Aleksei coordinate around Margot's plan.,VOID label attached to Golem.,The tag must survive the Golem's resistance.,Golem-processing thread.,The classification plan receives a major partial payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C23-S04,Book 3,23,Chapter 23,4,296,series/books/book-3/phase-8-editing/MANUSCRIPT.md,aeeab615f5aeda0abab4d357c7a104e0ff8123570b87d839dff5da869b2d2ecc,"""Clear the path!"" Margot ordered. ""It's moving to the Loading Dock!""",She flew.,Margot Vance,,,Library lobby and loading-dock route,Margot Vance; Jonah Harrow; Henderson; Sarah; Aleksei; Siege Golem,Complete the return process before the Golem purges the label.,"Logic conflict, empty Label Gun, Golem resisting rollers.",Jonah realizes Margot must manually stamp the return.,Sarah throws the Checkout Stamp and Aleksei launches Margot toward the Golem.,Golem fights sorting system; label smokes; stamp identified; fastball launch begins.,Margot learns the return requires manual verification.,The team accepts absurd library procedure as literal combat doctrine.,Multiple allies support Margot's high-risk maneuver.,Checkout Stamp transferred from Sarah to Margot.,Stamp the Golem before it breaks free.,Golem-processing climax.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C23-S05,Book 3,23,Chapter 23,5,446,series/books/book-3/phase-8-editing/MANUSCRIPT.md,701d156c062911ac1dea9010d9f699af6b953322689222af53ed54f65fadddbb,"Ideally, she would land gracefully.","""Return processed,"" the Gnome panted. ""Have a nice day.""",Margot Vance,,today,Library loading-dock hallway and Oversize Returns chute,Margot Vance; Jonah Harrow; Aleksei; Henderson; Siege Golem,Stamp the Golem and force it into the Void chute.,"Heat, height, Golem resistance, dangerous chute edge.",Margot stamps RETURN TO SENDER on the Golem's forehead.,The library transports the Golem into the blue Void chute.,Margot lands on Golem; stamps it; rollers accelerate; Jonah uses Librarian's Shush; Golem falls into vortex.,The defenders confirm the library's cataloging authority can dispose of even a necromantic war machine.,Margot fully embraces her Keeper role as battlefield authority.,Jonah supports Margot's command rather than taking over.,Siege Golem transferred into trans-dimensional Void; Checkout Stamp remains with Margot.,Valerius will answer the loss of his prototype.,Valerius escalation thread.,The Siege Golem threat is fully resolved.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C23-S06,Book 3,23,Chapter 23,6,395,series/books/book-3/phase-8-editing/MANUSCRIPT.md,1a918d7e70f86bc817c1c8318d4eb743581261d52f0b83c0e8ccccda9682eb16,Silence returned to the Library.,"""No,"" she said. ""Tomorrow... we rewrite the rules.""",Margot Vance,,today; tomorrow,Library lobby,Margot Vance; Jonah Harrow; Grishka; Henderson; Valerius over radio,"Recover, assess casualties, and understand Valerius's next move.","Exhaustion, injuries, ongoing siege, enemy patience.",Valerius reveals the Golem was only a prototype and begins a long siege.,Margot and Jonah decide to move from defense to offense.,Casualty check; Grishka survives; Valerius establishes perimeter and containment grid; offensive decision.,The defenders learn Valerius intends to starve and isolate them rather than breach immediately.,Margot rejects passive endurance and chooses to rewrite the rules.,Jonah and Margot reaffirm shared command.,Checkout Stamp remains in Margot's possession.,Break the siege through an offensive move.,Valerius confrontation and information-war threads.,Wave two is defeated.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C24-S01,Book 3,24,Chapter 24,1,545,series/books/book-3/phase-8-editing/MANUSCRIPT.md,a6d16fe6cd190bc9dc9c3e9514b231636d53c51c9cdbd9411b9506e291e14430,**Jonah**,"""The Coal Chute,"" he said. ""The one we didn't throw the Golem down.""",Jonah Harrow,,,Library lobby on Day Two of siege,Jonah Harrow; Margot Vance; Sarah; Aleksei; resistance civilians,Find a way to break Valerius's communications blackout.,"Jamming, limited water, siege starvation strategy, enemy surveillance.",Jonah identifies an old logging-station AM transmitter outside the jamming grid.,Jonah forms a small team to reach the transmitter through the coal chute.,Supply status reviewed; jamming analyzed; logging station identified; Aleksei and Sarah join mission.,The defenders learn the old AM transmitter may bypass modern jamming and reach five hundred miles.,Jonah recognizes public witnesses are more valuable than conventional reinforcements.,Margot preemptively orders Aleksei to stop Jonah from reckless solo action.,Mission weapons and communications gear prepared.,Broadcast the truth beyond the quarantine.,Information-war and audience threads.,The offensive plan becomes concrete.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C24-S02,Book 3,24,Chapter 24,2,406,series/books/book-3/phase-8-editing/MANUSCRIPT.md,0030809f6edf8c0939e0d34e93e552b4dc5fe2c9c84c34797e66869c0c461901,"The Coal Chute hadn't been used since 1950. It was tight, black, and coated in seventy years of dust.","""We take them quietly,"" Jonah ordered. ""No guns. No alarms.""",Jonah Harrow,,night,"Coal chute, riverbank, and forest route",Jonah Harrow; Sarah; Aleksei; Magisterium patrol,Exit the library unseen and reach the logging station.,"Patrol skiff, jamming field, snow, enemy guards.",The team reaches the transmitter and observes only two bored guards.,They prepare a quiet infiltration.,Coal-chute escape; patrol evaded; forest hunt; logging station reconnoitered.,Jonah learns the transmitter is lightly guarded and still powered.,The mission appears feasible despite the siege.,Sarah and Aleksei function as trusted field partners.,No major transfer.,Take the station without raising an alarm.,Broadcast mission.,The team reaches the target.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
